Date,Open,High,Low,Close,Adj Close,Volume
2019-11-13,144.490005,144.710007,144.029999,144.559998,142.031998,113800
2019-11-14,143.500000,143.869995,142.880005,143.869995,141.354065,98800
2019-11-15,144.009995,144.399994,143.919998,144.270004,141.747086,114500
2019-11-18,143.300003,143.759995,143.270004,143.600006,141.088791,128400
2019-11-19,143.559998,143.559998,142.800003,142.850006,140.351913,133300
2019-11-20,141.750000,141.869995,140.500000,141.369995,138.897781,93300
2019-11-21,142.100006,142.380005,141.860001,142.139999,139.654327,61300
2019-11-22,143.100006,143.100006,142.350006,142.529999,140.037506,69900
2019-11-25,140.750000,142.699997,140.750000,142.539993,140.047318,115700
2019-11-26,141.979996,142.000000,141.279999,141.970001,139.487305,86400
2019-11-27,141.490005,141.860001,141.009995,141.660004,139.182724,179900
2019-11-29,140.149994,140.580002,140.070007,140.210007,137.758087,107800
2019-12-02,141.350006,141.350006,139.699997,140.270004,137.817032,117800
2019-12-03,140.509995,140.789993,139.949997,140.729996,138.268982,109300
2019-12-04,144.020004,144.020004,142.740005,143.380005,140.872650,175400
2019-12-05,143.100006,143.130005,142.580002,142.830002,140.332260,91500
2019-12-06,142.350006,142.850006,142.330002,142.770004,140.273315,93900
2019-12-09,143.130005,143.130005,141.860001,141.889999,139.408691,99300
2019-12-10,141.300003,141.660004,141.000000,141.179993,138.711105,147000
2019-12-11,141.330002,141.830002,140.979996,141.619995,139.143417,139400
2019-12-12,140.850006,141.800003,140.229996,141.600006,139.123779,150000
2019-12-13,142.610001,142.880005,141.779999,142.100006,139.615036,89100
2019-12-16,142.190002,142.649994,142.179993,142.529999,140.037506,75900
2019-12-17,142.380005,142.860001,142.289993,142.770004,140.273315,70600
2019-12-18,142.419998,142.539993,142.139999,142.389999,139.899948,69700
2019-12-19,142.979996,143.000000,142.460007,142.759995,140.263474,92700
2019-12-20,140.559998,142.259995,140.559998,141.970001,139.487305,129300
2019-12-23,142.119995,142.119995,141.699997,141.960007,139.477478,85900
2019-12-24,141.500000,141.679993,141.190002,141.339996,138.868317,66700
2019-12-26,141.360001,141.529999,140.839996,141.529999,139.054993,73700
2019-12-27,142.000000,142.000000,141.240005,141.279999,138.809357,133000
2019-12-30,141.460007,141.460007,140.440002,140.610001,138.151077,91800
2019-12-31,140.580002,140.729996,140.130005,140.539993,138.082291,89700
2020-01-02,142.000000,142.350006,141.529999,142.240005,139.752579,118100
2020-01-03,141.229996,141.419998,140.300003,140.750000,138.288635,174900
2020-01-06,139.460007,140.889999,139.460007,140.770004,138.308289,150200
2020-01-07,142.130005,142.429993,141.360001,141.509995,139.035339,123500
2020-01-08,140.910004,141.580002,140.600006,141.160004,138.691467,117700
2020-01-09,141.160004,141.160004,140.110001,140.509995,138.052826,116200
2020-01-10,140.000000,140.160004,139.470001,139.729996,137.286469,172000
2020-01-13,140.160004,140.649994,139.720001,140.559998,138.101944,114100
2020-01-14,140.419998,140.710007,140.020004,140.369995,137.915268,109400
2020-01-15,139.610001,139.820007,139.279999,139.360001,136.922943,138200
2020-01-16,139.440002,140.100006,139.369995,140.100006,137.650009,104000
2020-01-17,139.679993,140.059998,139.470001,140.039993,137.591034,91100
