Trade Date,Index Value,Net Change,High,Low
28/2/2020,256.81259550923,-6.18660034296,258.78292174054,250.13978647452
27/2/2020,262.99919585219,-11.30229949130,272.85235237727,261.74164570675
26/2/2020,274.30149534349,-1.33258200428,277.52695203123,273.79952652316
25/2/2020,275.63407734777,-6.49277771200,280.98086140763,275.00769227546
24/2/2020,282.12685505977,-10.60535999074,291.63115833869,281.51906080351
21/2/2020,292.73221505051,-1.61566875929,294.78768436735,291.16007896818
20/2/2020,294.34788380980,0.17136919728,295.86559576267,291.58276247478
19/2/2020,294.17651461252,3.83975086078,295.89548382923,289.52509232530
18/2/2020,290.33676375174,0.92258660530,290.72531613694,286.42308822815
17/2/2020,289.41417714644,0.82081762492,290.79789264368,288.67879660725
14/2/2020,288.59335952152,-3.00905991149,290.95458826707,287.97474960718
13/2/2020,291.60241943301,1.12498326911,292.58144620388,286.94618338517
12/2/2020,290.47743616390,2.97604137204,291.84947052438,288.13674609920
11/2/2020,287.50139479186,1.65331309618,288.31154672943,285.90605711544
10/2/2020,285.84808169568,0.89189131025,288.96240163649,283.68979592330
7/2/2020,284.95619038543,-3.48221486194,287.37275225430,283.59264682035
6/2/2020,288.43840524737,4.46403179329,291.90424222638,285.16426977522
5/2/2020,283.97437345408,-8.21985331498,295.24317168565,281.74217782144
4/2/2020,292.19422676906,8.68421686215,297.83509950625,283.33888956910
3/2/2020,283.51000990691,7.58128132306,284.01391949686,274.16647629614
31/1/2020,275.92872858385,-0.36802832998,276.49541704498,274.08656116506
30/1/2020,276.29675691383,0.76048605195,276.71490072878,272.20755144942
29/1/2020,275.53627086188,0.24833067490,276.33410923610,274.56672153416
28/1/2020,275.28794018698,0.41026659186,275.76825920933,273.65201844500
27/1/2020,274.87767359512,-4.21280485216,278.50986902409,273.29506707998
24/1/2020,279.09047844728,-2.56237746179,281.16858922452,278.37514767908
23/1/2020,281.65285590907,-2.31473294223,283.60761468242,279.61512773439
22/1/2020,283.96758885130,1.32747644776,285.72750350038,282.57076560360
21/1/2020,282.64011240354,0.24810553592,282.74422558958,279.98657668570
20/1/2020,282.39200686762,-0.09518023571,282.85551312151,281.89300740151
17/1/2020,282.48718710333,1.37564925422,284.00945170749,281.89385720191
16/1/2020,281.11153784911,-0.58266175312,282.32565701451,279.54946929467
15/1/2020,281.69419960223,-3.04364804093,284.58817922506,281.61756423398
14/1/2020,284.73784764316,0.59549493852,285.57550256937,283.43429930744
13/1/2020,284.14235270464,3.43287823962,284.25372493880,280.50228412547
10/1/2020,280.70947446502,-0.30432546689,281.83970542254,280.57223665193
9/1/2020,281.01379993191,0.98197010647,282.59173059250,280.18353592165
8/1/2020,280.03182982544,-1.13477186595,280.23079779724,278.15925162525
7/1/2020,281.16660169139,2.93658355098,281.39818646865,279.61128751626
6/1/2020,278.23001814041,-2.82887103772,278.80872508301,276.67415836585
3/1/2020,281.05888917813,-1.71145201759,282.91520893173,280.05482535098
2/1/2020,282.77034119572,2.47404494677,282.77034119572,279.80330786435
1/1/2020,280.29629624895,0.00000000000,280.37087907356,278.15205633256
31/12/2019,280.29629624895,0.38507118806,280.69859493894,279.35658364049
30/12/2019,279.91122506089,-1.18273750836,282.34145819580,279.56760305481
27/12/2019,281.09396256925,0.40787956920,281.98701010879,280.70290315751
26/12/2019,280.68608300005,0.83111115281,280.86254258735,279.76861348744
25/12/2019,279.85497184724,-1.06386194101,281.44506898508,279.56270796851
24/12/2019,280.91883378825,-0.23654028104,280.91883378825,280.00036707729
23/12/2019,281.15537406929,-0.40186421349,281.48926045286,279.94154073043
20/12/2019,281.55723828278,-0.74238218404,281.96132353844,281.03549517442
19/12/2019,282.29962046682,-0.42043511901,282.83623663095,281.26130413322
18/12/2019,282.72005558583,0.29865728365,282.81282316529,280.93640873802
17/12/2019,282.42139830218,0.34802636249,282.72751354051,281.57572817728
16/12/2019,282.07337193969,0.63651664529,282.37424645132,279.90813933300
13/12/2019,281.43685529440,3.76476175580,283.38717559107,280.34296566348
12/12/2019,277.67209353860,2.21458516552,278.24043464039,275.62602080904
11/12/2019,275.45750837308,1.21233265853,276.30184223016,274.05526189661
10/12/2019,274.24517571455,-0.47110425737,274.59730055140,272.76975429710
9/12/2019,274.71627997192,-0.60846604500,275.77694485443,274.60399288826
6/12/2019,275.32474601692,1.08639555334,275.60466095575,273.83969143910
5/12/2019,274.23835046358,-0.17194518377,275.51149370113,274.17494735714
4/12/2019,274.41029564735,0.41085757401,275.12032314662,273.28417051405
3/12/2019,273.99943807334,-1.01258143013,275.18848955842,272.85361749373
2/12/2019,275.01201950347,0.18225530587,275.98936222242,274.65296977596
29/11/2019,274.82976419760,-2.73974267008,276.59403601899,274.64904129002
28/11/2019,277.56950686768,-1.23756413981,278.71269530957,277.33777666275
27/11/2019,278.80707100749,0.76145137166,279.30360839719,278.04532320125
26/11/2019,278.04561963583,-1.11570926007,279.51235186214,277.41414233831
25/11/2019,279.16132889590,1.84231570203,279.74578397520,277.50559485750
22/11/2019,277.31901319387,-0.02511812369,278.16013945623,276.81752785222
21/11/2019,277.34413131756,0.35765031194,278.45146627749,276.29405041600
20/11/2019,276.98648100562,-3.50993401244,279.24918495135,276.86051198109
19/11/2019,280.49641501806,-0.37580515902,281.18836310561,279.84355565702
18/11/2019,280.87222017708,-1.20317241105,282.77216348165,280.05614830133
15/11/2019,282.07539258813,1.41438583416,282.23071422284,280.66431482614
14/11/2019,280.66100675397,-2.87633076025,282.97295432728,280.52807632631
13/11/2019,283.53733751422,-3.64234594114,286.53256268561,283.29864094646
12/11/2019,287.17968345536,1.19897890248,287.61857252561,285.68722082763
11/11/2019,285.98070455288,0.13650044278,286.26577069747,284.96622559770
8/11/2019,285.84420411010,1.37199671447,286.27771358932,284.32312905842
7/11/2019,284.47220739563,1.42308914296,285.16021014889,282.32728314879
6/11/2019,283.04911825267,-0.78318474838,283.49881483103,282.21002310501
5/11/2019,283.83230300105,1.44038413498,284.64223765207,283.09333007148
4/11/2019,282.39191886607,2.38979940172,282.86460034594,280.20928783124
1/11/2019,280.00211946435,2.78733717634,280.00754699785,277.50014984598
31/10/2019,277.21478228801,-2.71382522327,280.67878462941,276.61514090161
30/10/2019,279.92860751128,-1.53214305681,281.98728080464,278.87644675803
